"CardNo","StartDate","Pentad","year","obs"
"3405_2450_001979_20220103",2022-01-03,"3405_2450",2022,0
"2545_2815_010823_20220103",2022-01-03,"2545_2815",2022,0
"2555_2800_000608_20220102",2022-01-02,"2555_2800",2022,0
"2455_3135_017130_20220103",2022-01-03,"2455_3135",2022,0
"2455_3140_017130_20220103",2022-01-03,"2455_3140",2022,0
"2535_3035_010916_20220106",2022-01-06,"2535_3035",2022,0
"3405_2205_011619_20220103",2022-01-03,"3405_2205",2022,0
"3335_2640_020019_20220102",2022-01-02,"3335_2640",2022,0
"3400_2050_015803_20220101",2022-01-01,"3400_2050",2022,0
"2605_2750_001518_20220101",2022-01-01,"2605_2750",2022,0
"3300_2745_021180_20220108",2022-01-08,"3300_2745",2022,0
"2615_2805_011783_20220108",2022-01-08,"2615_2805",2022,0
"2915_2615_000102_20220108",2022-01-08,"2915_2615",2022,0
"3400_2320_010623_20220101",2022-01-01,"3400_2320",2022,0
"3405_2205_015548_20220103",2022-01-03,"3405_2205",2022,0
"3005_3045_019186_20220104",2022-01-04,"3005_3045",2022,0
"2650_2640_010651_20220101",2022-01-01,"2650_2640",2022,0
"2920_2615_000102_20220108",2022-01-08,"2920_2615",2022,0
"3400_2005_002292_20220108",2022-01-08,"3400_2005",2022,0
"3400_2205_015548_20220104",2022-01-04,"3400_2205",2022,0
"2430_3050_011455_20220108",2022-01-08,"2430_3050",2022,0
"2655_2710_011831_20220101",2022-01-01,"2655_2710",2022,0
"3355_2255_002062_20220108",2022-01-08,"3355_2255",2022,0
"3005_3045_017770_20220104",2022-01-04,"3005_3045",2022,0
"2920_3115_020208_20220108",2022-01-08,"2920_3115",2022,0
"2620_2805_016971_20220108",2022-01-08,"2620_2805",2022,0
"2540_2815_011328_20220107",2022-01-07,"2540_2815",2022,0
"2445_2820_019666_20220108",2022-01-08,"2445_2820",2022,0
"2550_2755_021067_20220108",2022-01-08,"2550_2755",2022,0
"2920_3115_013478_20220108",2022-01-08,"2920_3115",2022,0
"3215_2430_001475_20220106",2022-01-06,"3215_2430",2022,0
"3220_2425_001475_20220107",2022-01-07,"3220_2425",2022,0
"2445_2820_011296_20220108",2022-01-08,"2445_2820",2022,0
"3200_2420_001475_20220105",2022-01-05,"3200_2420",2022,0
"2505_2805_010718_20220104",2022-01-04,"2505_2805",2022,0
"2605_2755_010281_20220103",2022-01-03,"2605_2755",2022,0
"2510_2805_010718_20220104",2022-01-04,"2510_2805",2022,0
"2705_2825_000527_20220108",2022-01-08,"2705_2825",2022,0
"2505_2800_010718_20220104",2022-01-04,"2505_2800",2022,0
"2510_2815_010718_20220104",2022-01-04,"2510_2815",2022,0
"2535_3045_010916_20220104",2022-01-04,"2535_3045",2022,0
"2710_2825_000527_20220108",2022-01-08,"2710_2825",2022,0
"2530_2810_021011_20220104",2022-01-04,"2530_2810",2022,0
"3220_2350_010902_20220108",2022-01-08,"3220_2350",2022,0
"3220_2345_010902_20220108",2022-01-08,"3220_2345",2022,0
"2505_2810_010718_20220104",2022-01-04,"2505_2810",2022,0
"3220_2240_001909_20220108",2022-01-08,"3220_2240",2022,0
"3220_2235_001909_20220103",2022-01-03,"3220_2235",2022,0
"2600_2800_021067_20220105",2022-01-05,"2600_2800",2022,0
"2430_2905_011366_20220108",2022-01-08,"2430_2905",2022,0
"2610_2805_010281_20220108",2022-01-08,"2610_2805",2022,0
"2615_2810_010281_20220108",2022-01-08,"2615_2810",2022,0
"2910_2700_000662_20220108",2022-01-08,"2910_2700",2022,0
"2425_3055_010170_20220104",2022-01-04,"2425_3055",2022,0
"2650_2620_000272_20220108",2022-01-08,"2650_2620",2022,0
"3005_3050_017770_20220104",2022-01-04,"3005_3050",2022,0
"2425_3120_002090_20220103",2022-01-03,"2425_3120",2022,0
"2525_3135_002090_20220102",2022-01-02,"2525_3135",2022,0
"3040_3015_017228_20220103",2022-01-03,"3040_3015",2022,0
"3010_2910_017228_20220108",2022-01-08,"3010_2910",2022,0
"2905_2420_014069_20220102",2022-01-02,"2905_2420",2022,0
"2720_3150_000837_20220102",2022-01-02,"2720_3150",2022,0
"2615_2615_014069_20220105",2022-01-05,"2615_2615",2022,0
"2905_2415_014069_20220103",2022-01-03,"2905_2415",2022,0
"3355_2235_011142_20220101",2022-01-01,"3355_2235",2022,0
"2750_2925_020974_20220104",2022-01-04,"2750_2925",2022,0
"2730_3115_011268_20220102",2022-01-02,"2730_3115",2022,0
"3340_2635_002390_20220102",2022-01-02,"3340_2635",2022,0
"3325_2545_018263_20220108",2022-01-08,"3325_2545",2022,0
"3240_2615_018263_20220104",2022-01-04,"3240_2615",2022,0
"2540_2800_015688_20220101",2022-01-01,"2540_2800",2022,0
"2505_2805_010618_20220108",2022-01-08,"2505_2805",2022,0
"2505_2800_010618_20220108",2022-01-08,"2505_2800",2022,0
"2940_2930_012223_20220105",2022-01-05,"2940_2930",2022,0
"3400_2100_013624_20220109",2022-01-09,"3400_2100",2022,0
"3400_2530_000916_20220109",2022-01-09,"3400_2530",2022,0
"3355_2205_015548_20220109",2022-01-09,"3355_2205",2022,0
"3330_1945_002194_20220105",2022-01-05,"3330_1945",2022,0
"2650_2745_000527_20220109",2022-01-09,"2650_2745",2022,0
"2945_3045_014593_20220105",2022-01-05,"2945_3045",2022,0
"2535_2820_014593_20220103",2022-01-03,"2535_2820",2022,0
"3410_2445_001979_20220107",2022-01-07,"3410_2445",2022,0
"3410_2445_010478_20220103",2022-01-03,"3410_2445",2022,0
"3405_2445_001979_20220106",2022-01-06,"3405_2445",2022,0
"2605_2815_016971_20220104",2022-01-04,"2605_2815",2022,0
"2540_2715_016333_20220108",2022-01-08,"2540_2715",2022,0
"3355_2050_010478_20220107",2022-01-07,"3355_2050",2022,0
"3400_2050_010478_20220107",2022-01-07,"3400_2050",2022,0
"3215_2335_010902_20220104",2022-01-04,"3215_2335",2022,0
"3055_3015_017228_20220109",2022-01-09,"3055_3015",2022,0
"3220_2330_010902_20220104",2022-01-04,"3220_2330",2022,0
"3220_2335_010902_20220103",2022-01-03,"3220_2335",2022,0
"3405_2450_010478_20220101",2022-01-01,"3405_2450",2022,0
"3410_2200_011142_20220105",2022-01-05,"3410_2200",2022,0
"2600_2745_010174_20220101",2022-01-01,"2600_2745",2022,0
"2630_2810_010579_20220109",2022-01-09,"2630_2810",2022,0
"3255_1805_020622_20220109",2022-01-09,"3255_1805",2022,0
"2345_3030_011071_20220108",2022-01-08,"2345_3030",2022,0
"3215_2335_010902_20220109",2022-01-09,"3215_2335",2022,0
"2830_2955_020009_20220101",2022-01-01,"2830_2955",2022,0
"2605_2815_014228_20220105",2022-01-05,"2605_2815",2022,0
"2845_2605_014228_20220108",2022-01-08,"2845_2605",2022,0
"3355_2210_015548_20220109",2022-01-09,"3355_2210",2022,0
"2645_2745_000527_20220106",2022-01-06,"2645_2745",2022,0
"2550_2810_014593_20220104",2022-01-04,"2550_2810",2022,0
"3405_2440_001979_20220105",2022-01-05,"3405_2440",2022,0
"3330_2700_010318_20220104",2022-01-04,"3330_2700",2022,0
"2510_2805_010618_20220108",2022-01-08,"2510_2805",2022,0
"3210_2335_010902_20220103",2022-01-03,"3210_2335",2022,0
"2530_3050_010916_20220109",2022-01-09,"2530_3050",2022,0
"2845_2600_014228_20220108",2022-01-08,"2845_2600",2022,0
"2555_2725_019120_20220106",2022-01-06,"2555_2725",2022,0
"2850_2955_000278_20220109",2022-01-09,"2850_2955",2022,0
"2830_2955_020009_20220106",2022-01-06,"2830_2955",2022,0
"3355_2045_010478_20220107",2022-01-07,"3355_2045",2022,0
"2540_2815_010565_20220105",2022-01-05,"2540_2815",2022,0
"2505_2805_010823_20220109",2022-01-09,"2505_2805",2022,0
"2605_2820_021107_20220102",2022-01-02,"2605_2820",2022,0
"2545_2815_021107_20220109",2022-01-09,"2545_2815",2022,0
"2900_2425_013991_20220108",2022-01-08,"2900_2425",2022,0
"2910_2420_013991_20220107",2022-01-07,"2910_2420",2022,0
"2905_2420_013991_20220108",2022-01-08,"2905_2420",2022,0
"2630_2645_000272_20220109",2022-01-09,"2630_2645",2022,0
"2440_2820_016098_20220104",2022-01-04,"2440_2820",2022,0
"3400_2210_010526_20220107",2022-01-07,"3400_2210",2022,0
"2850_3000_000278_20220109",2022-01-09,"2850_3000",2022,0
"3330_1950_021083_20220105",2022-01-05,"3330_1950",2022,0
"2605_2755_016236_20220105",2022-01-05,"2605_2755",2022,0
"2550_2650_012151_20220101",2022-01-01,"2550_2650",2022,0
"3325_1950_021083_20220105",2022-01-05,"3325_1950",2022,0
